Entity,Code,Year,Electricity from hydro - TWh
Botswana,BWA,2000,0
Botswana,BWA,2001,0
Botswana,BWA,2002,0
Botswana,BWA,2003,0
Botswana,BWA,2004,0
Botswana,BWA,2005,0
Botswana,BWA,2006,0
Botswana,BWA,2007,0
Botswana,BWA,2008,0
Botswana,BWA,2009,0
Botswana,BWA,2010,0
Botswana,BWA,2011,0
Botswana,BWA,2012,0
Botswana,BWA,2013,0
Botswana,BWA,2014,0
Botswana,BWA,2015,0
Botswana,BWA,2016,0
Botswana,BWA,2017,0
Botswana,BWA,2018,0
Botswana,BWA,2019,0
Botswana,BWA,2020,0
Botswana,BWA,2021,0
Botswana,BWA,2022,0
Botswana,BWA,2023,0
China,CHN,1965,22.097
China,CHN,1966,22.485907
China,CHN,1967,19.383488
China,CHN,1968,22.870396
China,CHN,1969,23.259302
China,CHN,1970,24.037117
China,CHN,1971,29.075233
China,CHN,1972,32.951046
China,CHN,1973,36.82686
China,CHN,1974,41.674942
China,CHN,1975,43.610638
China,CHN,1976,44.194
China,CHN,1977,46.134117
China,CHN,1978,43.22615
China,CHN,1979,48.555946
China,CHN,1980,58.221176
China,CHN,1981,65.51318
China,CHN,1982,74.41386
China,CHN,1983,86.41695
China,CHN,1984,86.8147
China,CHN,1985,92.38756
China,CHN,1986,94.548645
China,CHN,1987,100.02428
China,CHN,1988,109.16802
China,CHN,1989,118.40898
China,CHN,1990,126.74397
China,CHN,1991,124.68895
China,CHN,1992,130.68608
China,CHN,1993,151.84616
China,CHN,1994,167.42897
China,CHN,1995,190.58
China,CHN,1996,187.97
China,CHN,1997,195.98
China,CHN,1998,198.89
China,CHN,1999,196.58
China,CHN,2000,222.41
China,CHN,2001,277.43
China,CHN,2002,287.97
China,CHN,2003,283.68
China,CHN,2004,353.54
China,CHN,2005,397.02
China,CHN,2006,435.79
China,CHN,2007,485.26
China,CHN,2008,636.96
China,CHN,2009,615.64
China,CHN,2010,711.38
China,CHN,2011,688.04
China,CHN,2012,862.79
China,CHN,2013,909.61
China,CHN,2014,1059.69
China,CHN,2015,1114.52
China,CHN,2016,1153.27
China,CHN,2017,1165.06
China,CHN,2018,1198.89
China,CHN,2019,1272.54
China,CHN,2020,1321.71
China,CHN,2021,1300
China,CHN,2022,1298.12
China,CHN,2023,1226
China,CHN,2024,1354.43
France,FRA,1965,46.881092
France,FRA,1966,52.20847
France,FRA,1967,45.37766
France,FRA,1968,50.42261
France,FRA,1969,52.94209
France,FRA,1970,56.681484
France,FRA,1971,48.856724
France,FRA,1972,48.831467
France,FRA,1973,47.696262
France,FRA,1974,56.230286
France,FRA,1975,60.107937
France,FRA,1976,48.56463
France,FRA,1977,76.322975
France,FRA,1978,68.35983
France,FRA,1979,66.419136
France,FRA,1980,69.52675
France,FRA,1981,72.19517
France,FRA,1982,70.57486
France,FRA,1983,69.443016
France,FRA,1984,65.69011
France,FRA,1985,61.916004
France,FRA,1986,62.483
France,FRA,1987,70.498
France,FRA,1988,76.522
France,FRA,1989,46.636997
France,FRA,1990,52.71
France,FRA,1991,56.32
France,FRA,1992,67.48
France,FRA,1993,63.3
France,FRA,1994,77.03
France,FRA,1995,71.33
France,FRA,1996,64.67
France,FRA,1997,62.11
France,FRA,1998,60.77
France,FRA,1999,70.82
France,FRA,2000,64.78
France,FRA,2001,72.62
France,FRA,2002,58.88
France,FRA,2003,57.35
France,FRA,2004,58.04
France,FRA,2005,50.14
